Num_Agents,Average_Time_Taken,Average_Collisions
42,0.003752748171488444,93.83333333333333
33,0.0029321908950805664,53.0
10,0.0008204460144042968,3.0
26,0.00223541259765625,34.5
24,0.0026574929555257163,42.666666666666664
16,0.0016070206960042317,29.333333333333332
30,0.002229412396748861,49.5
38,0.0035747687021891275,84.66666666666667
11,0.0009289979934692383,4.5
6,0.0004589557647705078,10.0
2,0.00018413861592610678,0.0
36,0.002425074577331543,53.5
22,0.0018028020858764648,20.5
41,0.00422137975692749,144.5
34,0.0030002593994140625,54.0
25,0.002598702907562256,44.25
8,0.0011858940124511719,4.0
37,0.004353642463684082,75.0
45,0.003641366958618164,126.8
44,0.004857420921325684,118.5
29,0.002299189567565918,51.5
50,0.00465242067972819,196.66666666666666
40,0.002895355224609375,69.66666666666667
27,0.004439830780029297,97.0
4,0.00022840499877929688,0.0
47,0.004250645637512207,137.5
9,0.0008002122243245443,2.3333333333333335
32,0.0024770100911458335,45.0
5,0.00031884511311848957,0.6666666666666666
21,0.0015772581100463867,38.0
19,0.001882791519165039,14.0
7,0.0009038448333740234,1.0
18,0.0010919570922851562,17.0
39,0.0036945343017578125,73.0
28,0.0013768672943115234,22.0
23,0.0018669366836547852,33.0
43,0.00481569766998291,185.5
17,0.0013854503631591797,26.0
20,0.0015690326690673828,22.0
13,0.0007152557373046875,7.0
48,0.0045888423919677734,228.0
